"[[2, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0.6279104600312131, 0.46018877357631516], [0.5334345085440602, 0.7521799692235077, 0.43840163950874916], [0.5695679486127725, 0.582720538548753, 0.3197778317081225]]"
"[[2, 1, 2], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0.14443915570253296, 0.8053302373044496, 0.0147309954048], [0.07496837076749502, 0.4432402944, 0.07618195088368404]]"
"[[2, 1, 2], [2, 1, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0.16213217469938523], [0.5856414070878366, 0.9999999999999998, -0.4696323846729077]]"
"[[2, 1, 2], [2, 1, 0], [1, 0, 2]]","[[0, 0, 0], [0, 0, 0.09999980843805739], [0, 0.9999999999999998, 0]]"
"[[2, 1, 2], [2, 1, 0], [1, 1, 2]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[[0, 0, 2], [2, 0, 0], [0, 0, 1]]","[[0.8107555905938233, 0.0, 0], [0, 0.0, 0.0], [0.20673631331399034, 0.0, 0]]"
"[[0, 0, 2], [2, 2, 1], [0, 0, 1]]","[[-0.2, -0.1597667932454716, 0], [0, 0, 0], [0.564349773445104, 0.0, 0]]"
"[[2, 0, 2], [2, 2, 1], [1, 0, 1]]","[[0, 0.09907766279631453, 0], [0, 0, 0], [0, 0.9999999999999998, 0]]"
"[[2, 1, 2], [2, 2, 1], [1, 2, 1]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[[1, 0, 0], [0, 0, 2], [0, 0, 0]]","[[0, 0.812782440981586, 0.32399999999999995], [0.2915289410429308, 0.29159376202690745, 0], [0.17999998483503002, 0.2773781580802319, 0.4859841036704689]]"
"[[1, 0, 0], [1, 2, 2], [0, 0, 0]]","[[0, 0.8999975654819163, 0], [0, 0, 0], [0.2, 0.0021783168000000003, 0.0]]"
"[[1, 0, 2], [1, 2, 2], [0, 0, 1]]","[[0, 0, 0], [0, 0, 0], [0.9999999326001333, 0, 0]]"
"[[1, 0, 2], [1, 2, 2], [1, 0, 1]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[[0, 0, 0], [0, 0, 0], [1, 0, 2]]","[[0.7935245167953475, 0.0, 0], [0.0, 0.0, 0.01063446306275858], [0, 0.0, 0]]"
"[[0, 2, 0], [1, 0, 0], [1, 0, 2]]","[[0.2, 0, 0], [0, 0, 0], [0, 0.0, 0]]"
"[[2, 2, 0], [1, 0, 0], [1, 1, 2]]","[[0, 0, -0.2], [0, 0, 0], [0, 0, 0]]"
"[[2, 2, 1], [1, 2, 0], [1, 1, 2]]","[[0, 0, 0], [0, 0, 0], [0, 0, 0]]"
"[[2, 0, 2], [0, 0, 0], [1, 0, 0]]","[[0, 0.5144399759085106, 0], [0, 0.0, 0.0], [0, -0.017748735999999987, 0]]"
"[[2, 0, 2], [2, 0, 1], [1, 0, 0]]","[[0, 0.08988217874595521, 0], [0, 0, 0], [0, 0, -0.18919424]]"
"[[0, 1, 2], [0, 0, 0], [0, 0, 0]]","[[0.7225154365416683, 0, 0], [0, 0.0, 0.0], [0, 0.0, 0.0925511195137973]]"
"[[0, 1, 2], [2, 0, 0], [0, 0, 1]]","[[0.004244789412259431, 0, 0], [0, 0, 0.0], [0, 0, 0]]"
"[[0, 1, 2], [2, 0, 1], [0, 2, 1]]","[[0.0, 0, 0], [0, 0.0, 0], [0.0, 0, 0]]"
